Index,coherence,source,lang,FT_CC,FT_Cluster,BERT_CC,BERT_Cluster,Sent_CC,Sent_Cluster
3181,3,CEDCC,zh,0.520457619735976,0.6279196372211467,0.3449658185244974,0.35922473072627514,0.5667614365109628,0.5699752364714002
1326,3,CEDCC,zh,0.5164464900963653,0.3276770078770505,0.34314967218771825,0.3454784204137104,0.5588976201641008,0.437579365079365
268,3,CEDCC,zh,0.5205549172044064,0.6927716297161263,0.34027505177910117,0.3551071122635901,0.550545636219081,0.5525670236196552
3031,2,CEDCC,zh,0.5200681362173986,0.6895796396051759,0.3382830362890133,0.37509306110064533,0.5951065439827463,0.5159774436090224
2302,3,CEDCC,zh,0.5183076241276512,0.6186303409816295,0.34794701540093903,0.34582199532047825,0.5496658407696876,0.4495859213250518
4250,2,CEDCC,zh,0.520028406974087,0.5952786179644869,0.3560391501786461,0.33681605474742754,0.5618048880903208,0.6251380262249828
4258,3,CEDCC,zh,0.5197955509381804,0.59945258221853,0.34428789963332196,0.3577681680690275,0.6363740779579289,0.6789734075448361
3757,3,CEDCC,zh,0.5166732206424216,0.6035428963332599,0.3459530529939075,0.353847092710951,0.6302907822183185,0.608051948051948
980,1,CEDCC,zh,0.49759166405011324,0.11937826927866388,0.34592546251098416,0.3614852026653426,0.4523655707769979,0.4235044088702626
2960,2,CEDCC,zh,0.5190528707753195,0.5585526780856178,0.35899994864693185,0.3400670135222571,0.5307832589822373,0.41247613497613506
2232,1,CEDCC,zh,0.52032564897493,0.5759172274187526,0.33607704868779237,0.37534331904534574,0.6045920967187175,0.6107407407407408
1919,1,CEDCC,zh,0.521302577733178,0.6310710481500773,0.342327800893733,0.3470221622993905,0.5662756816090181,0.37973137973137977
3044,2,CEDCC,zh,0.5102714834986463,0.3479227336754373,0.33522371376807136,0.38930412803596803,0.6314416173167832,0.6022778808493096
536,1,CEDCC,zh,0.5134053107254687,0.3525816954857928,0.35377205391843847,0.35015141944595135,0.5157230811487733,0.43620298082278003
2690,1,CEDCC,zh,0.517031229792243,0.5848174477354403,0.347526467786157,0.3573963211175536,0.5706250192238894,0.5495638200183653
1956,2,CEDCC,zh,0.5187745826844746,0.595708940797519,0.3481156398109712,0.33719375849560773,0.5228502748747705,0.4535012879840466
3470,2,CEDCC,zh,0.5166403914309347,0.36836015300425645,0.3471850196636971,0.32689478432276386,0.6260637510673085,0.5139455782312925
2413,3,CEDCC,zh,0.5203911716706519,0.5483364830940515,0.34251789035790353,0.34724943385223667,0.6656862745098039,0.5727633477633477
4274,3,CEDCC,zh,0.5168587706351985,0.38141943984325194,0.3409052385280501,0.3540133136164583,0.6226156179468367,0.6362616550116549
2700,3,CEDCC,zh,0.3298425974969843,0.4303232510882338,0.3419777097309208,0.372180808811981,0.5759826766228061,0.529854648275701
2790,3,CEDCC,zh,0.5191483314426062,0.6685186791718924,0.3530464097483657,0.3731880261750587,0.5525532393852518,0.4371933621933622
2693,2,CEDCC,zh,0.3685715170429538,0.44620875534500115,0.3418653526396527,0.3745578369272668,0.5592499013111848,0.6115060378218272
2976,1,CEDCC,zh,0.5202870431413262,0.6145677159853036,0.3428175432099241,0.3562781737675437,0.5175253323217566,0.48683579794690907
518,3,CEDCC,zh,0.5151410726906879,0.3368301577917219,0.3466331137361045,0.3523238829204482,0.5329439053395414,0.4380017102239325
2108,1,CEDCC,zh,0.5200630711468424,0.6452306714880867,0.3439278655981119,0.3344010745047775,0.6449681897050318,0.5502442002442003
2036,1,CEDCC,zh,0.5174749109048706,0.3524442972101917,0.35368946298568027,0.33693161452786863,0.5166256597359221,0.44342584581819044
1636,2,CEDCC,zh,0.5193352657148435,0.6178761817195149,0.35660109406657337,0.3275281003346863,0.5384163272398874,0.369699476151089
2739,1,CEDCC,zh,0.5198978297657271,0.6072657619753151,0.3525180795350511,0.35596769747854673,0.5342103962170911,0.5428536207382363
877,3,CEDCC,zh,0.5194187026209963,0.633323928832799,0.34263244806882986,0.3726787332066085,0.5173474140797515,0.3790451378686673
3193,3,CEDCC,zh,0.5212325984794012,0.6199865919133891,0.3389207322644839,0.361179359611147,0.5601696344869126,0.4794486215538846
1805,1,CEDCC,zh,0.5154840333755597,0.3037715250737044,0.3420671598023469,0.36739860467389407,0.6691186116319806,0.623015873015873
114,2,CEDCC,zh,0.5192297751825562,0.6594592327716546,0.33497497073375193,0.37635206746762606,0.6251689711105514,0.5413919413919415
4270,1,CEDCC,zh,0.5092385255822115,0.29669360714002996,0.33901436644404237,0.3937004118303751,0.6181417140364508,0.532962962962963
